Grid count: 105
ModeA, all players visit all tiles
BlockID: (1, 9), Visited:1 times
BlockID: (1, 10), Visited:2 times
BlockID: (1, 11), Visited:1 times
BlockID: (1, 12), Visited:1 times
BlockID: (1, 13), Visited:1 times
BlockID: (1, 14), Visited:1 times
BlockID: (2, 1), Visited:1 times
BlockID: (2, 2), Visited:1 times
BlockID: (2, 3), Visited:3 times
BlockID: (2, 4), Visited:4 times
BlockID: (2, 5), Visited:4 times
BlockID: (2, 6), Visited:4 times
BlockID: (2, 7), Visited:7 times
BlockID: (2, 10), Visited:2 times
BlockID: (2, 14), Visited:1 times
BlockID: (3, 1), Visited:1 times
BlockID: (3, 7), Visited:7 times
BlockID: (3, 10), Visited:2 times
BlockID: (3, 14), Visited:2 times
BlockID: (4, 1), Visited:2 times
BlockID: (4, 2), Visited:1 times
BlockID: (4, 3), Visited:1 times
BlockID: (4, 4), Visited:1 times
BlockID: (4, 5), Visited:1 times
BlockID: (4, 6), Visited:1 times
BlockID: (4, 7), Visited:8 times
BlockID: (4, 8), Visited:9 times
BlockID: (4, 9), Visited:7 times
BlockID: (4, 10), Visited:7 times
BlockID: (4, 11), Visited:5 times
BlockID: (4, 12), Visited:5 times
BlockID: (4, 13), Visited:5 times
BlockID: (4, 14), Visited:4 times
BlockID: (5, 1), Visited:2 times
BlockID: (5, 7), Visited:7 times
BlockID: (5, 8), Visited:10 times
BlockID: (6, 1), Visited:2 times
BlockID: (6, 2), Visited:1 times
BlockID: (6, 3), Visited:1 times
BlockID: (6, 4), Visited:1 times
BlockID: (6, 5), Visited:1 times
BlockID: (6, 6), Visited:1 times
BlockID: (6, 7), Visited:8 times
BlockID: (6, 8), Visited:11 times
BlockID: (7, 1), Visited:1 times
BlockID: (7, 7), Visited:6 times
BlockID: (7, 8), Visited:11 times
BlockID: (8, 1), Visited:2 times
BlockID: (8, 2), Visited:2 times
BlockID: (8, 3), Visited:1 times
BlockID: (8, 4), Visited:1 times
BlockID: (8, 5), Visited:1 times
BlockID: (8, 6), Visited:1 times
BlockID: (8, 7), Visited:5 times
BlockID: (8, 8), Visited:11 times
BlockID: (9, 1), Visited:2 times
BlockID: (9, 7), Visited:4 times
BlockID: (9, 8), Visited:10 times
BlockID: (10, 1), Visited:3 times
BlockID: (10, 2), Visited:1 times
BlockID: (10, 3), Visited:1 times
BlockID: (10, 4), Visited:1 times
BlockID: (10, 5), Visited:1 times
BlockID: (10, 6), Visited:1 times
BlockID: (10, 7), Visited:4 times
BlockID: (10, 8), Visited:10 times
BlockID: (10, 9), Visited:9 times
BlockID: (10, 10), Visited:5 times
BlockID: (11, 1), Visited:3 times
BlockID: (11, 7), Visited:3 times
BlockID: (11, 10), Visited:5 times
BlockID: (11, 11), Visited:5 times
BlockID: (11, 12), Visited:4 times
BlockID: (11, 13), Visited:3 times
BlockID: (11, 14), Visited:1 times
BlockID: (12, 1), Visited:3 times
BlockID: (12, 2), Visited:2 times
BlockID: (12, 3), Visited:2 times
BlockID: (12, 4), Visited:2 times
BlockID: (12, 5), Visited:2 times
BlockID: (12, 6), Visited:2 times
BlockID: (12, 7), Visited:4 times
BlockID: (12, 10), Visited:5 times
BlockID: (12, 11), Visited:3 times
BlockID: (12, 12), Visited:4 times
BlockID: (12, 13), Visited:3 times
BlockID: (12, 14), Visited:1 times
BlockID: (13, 1), Visited:1 times
BlockID: (13, 2), Visited:2 times
BlockID: (13, 3), Visited:1 times
BlockID: (13, 4), Visited:1 times
BlockID: (13, 5), Visited:1 times
BlockID: (13, 6), Visited:1 times
BlockID: (13, 7), Visited:2 times
BlockID: (13, 8), Visited:1 times
BlockID: (13, 9), Visited:3 times
BlockID: (13, 10), Visited:3 times
Player 2:
BlockID: (1, 1), Visited:1 times
BlockID: (1, 2), Visited:2 times
BlockID: (1, 3), Visited:3 times
BlockID: (1, 4), Visited:4 times
BlockID: (1, 5), Visited:3 times
BlockID: (1, 6), Visited:1 times
BlockID: (1, 7), Visited:1 times
BlockID: (1, 8), Visited:1 times
BlockID: (1, 9), Visited:1 times
BlockID: (1, 10), Visited:1 times
BlockID: (1, 11), Visited:1 times
BlockID: (1, 12), Visited:1 times
BlockID: (1, 13), Visited:1 times
BlockID: (1, 14), Visited:1 times
BlockID: (2, 1), Visited:1 times
BlockID: (2, 2), Visited:1 times
BlockID: (2, 3), Visited:2 times
BlockID: (2, 4), Visited:4 times
BlockID: (2, 5), Visited:4 times
BlockID: (2, 6), Visited:5 times
BlockID: (2, 7), Visited:6 times
BlockID: (2, 10), Visited:1 times
BlockID: (2, 14), Visited:1 times
BlockID: (3, 1), Visited:2 times
BlockID: (3, 7), Visited:6 times
BlockID: (3, 10), Visited:3 times
BlockID: (3, 14), Visited:1 times
BlockID: (4, 1), Visited:4 times
BlockID: (4, 2), Visited:2 times
BlockID: (4, 3), Visited:1 times
BlockID: (4, 4), Visited:1 times
BlockID: (4, 5), Visited:3 times
BlockID: (4, 6), Visited:4 times
BlockID: (4, 7), Visited:9 times
BlockID: (4, 8), Visited:7 times
BlockID: (4, 9), Visited:7 times
BlockID: (4, 10), Visited:7 times
BlockID: (4, 11), Visited:3 times
BlockID: (4, 12), Visited:3 times
BlockID: (4, 13), Visited:3 times
BlockID: (4, 14), Visited:2 times
BlockID: (5, 1), Visited:3 times
BlockID: (5, 7), Visited:6 times
BlockID: (5, 8), Visited:5 times
BlockID: (6, 1), Visited:6 times
BlockID: (6, 2), Visited:4 times
BlockID: (6, 3), Visited:4 times
BlockID: (6, 4), Visited:3 times
BlockID: (6, 5), Visited:1 times
BlockID: (6, 6), Visited:1 times
BlockID: (6, 7), Visited:7 times
BlockID: (6, 8), Visited:5 times
BlockID: (7, 1), Visited:5 times
BlockID: (7, 7), Visited:8 times
BlockID: (7, 8), Visited:6 times
BlockID: (8, 1), Visited:5 times
BlockID: (8, 2), Visited:1 times
BlockID: (8, 3), Visited:1 times
BlockID: (8, 4), Visited:1 times
BlockID: (8, 5), Visited:1 times
BlockID: (8, 6), Visited:2 times
BlockID: (8, 7), Visited:8 times
BlockID: (8, 8), Visited:6 times
BlockID: (9, 1), Visited:4 times
BlockID: (9, 7), Visited:5 times
BlockID: (9, 8), Visited:4 times
BlockID: (10, 1), Visited:4 times
BlockID: (10, 2), Visited:1 times
BlockID: (10, 3), Visited:1 times
BlockID: (10, 4), Visited:1 times
BlockID: (10, 5), Visited:1 times
BlockID: (10, 6), Visited:2 times
BlockID: (10, 7), Visited:6 times
BlockID: (10, 8), Visited:4 times
BlockID: (10, 9), Visited:4 times
BlockID: (10, 10), Visited:2 times
BlockID: (11, 1), Visited:3 times
BlockID: (11, 7), Visited:4 times
BlockID: (11, 10), Visited:4 times
BlockID: (11, 11), Visited:4 times
BlockID: (11, 12), Visited:3 times
BlockID: (11, 13), Visited:3 times
BlockID: (11, 14), Visited:1 times
BlockID: (12, 1), Visited:3 times
BlockID: (12, 2), Visited:3 times
BlockID: (12, 3), Visited:4 times
BlockID: (12, 4), Visited:4 times
BlockID: (12, 5), Visited:4 times
BlockID: (12, 6), Visited:5 times
BlockID: (12, 7), Visited:5 times
BlockID: (12, 10), Visited:4 times
BlockID: (12, 11), Visited:2 times
BlockID: (12, 12), Visited:3 times
BlockID: (12, 13), Visited:2 times
BlockID: (12, 14), Visited:1 times
BlockID: (13, 1), Visited:1 times
BlockID: (13, 2), Visited:3 times
BlockID: (13, 3), Visited:4 times
BlockID: (13, 4), Visited:4 times
BlockID: (13, 5), Visited:3 times
BlockID: (13, 6), Visited:3 times
BlockID: (13, 7), Visited:3 times
BlockID: (13, 8), Visited:4 times
BlockID: (13, 9), Visited:2 times
BlockID: (13, 10), Visited:1 times
Player 3:
BlockID: (1, 1), Visited:1 times
BlockID: (1, 2), Visited:3 times
BlockID: (1, 3), Visited:4 times
BlockID: (1, 4), Visited:4 times
BlockID: (1, 5), Visited:2 times
BlockID: (1, 6), Visited:2 times
BlockID: (1, 7), Visited:3 times
BlockID: (1, 8), Visited:3 times
BlockID: (1, 9), Visited:3 times
BlockID: (1, 10), Visited:4 times
BlockID: (1, 11), Visited:2 times
BlockID: (1, 12), Visited:1 times
BlockID: (1, 13), Visited:1 times
BlockID: (1, 14), Visited:1 times
BlockID: (2, 1), Visited:1 times
BlockID: (2, 2), Visited:1 times
BlockID: (2, 3), Visited:3 times
BlockID: (2, 4), Visited:4 times
BlockID: (2, 5), Visited:5 times
BlockID: (2, 6), Visited:8 times
BlockID: (2, 7), Visited:10 times
BlockID: (2, 10), Visited:2 times
BlockID: (2, 14), Visited:1 times
BlockID: (3, 1), Visited:2 times
BlockID: (3, 7), Visited:10 times
BlockID: (3, 10), Visited:2 times
BlockID: (3, 14), Visited:1 times
BlockID: (4, 1), Visited:5 times
BlockID: (4, 2), Visited:2 times
BlockID: (4, 3), Visited:2 times
BlockID: (4, 4), Visited:2 times
BlockID: (4, 5), Visited:1 times
BlockID: (4, 6), Visited:1 times
BlockID: (4, 7), Visited:11 times
BlockID: (4, 8), Visited:3 times
BlockID: (4, 9), Visited:3 times
BlockID: (4, 10), Visited:4 times
BlockID: (4, 11), Visited:3 times
BlockID: (4, 12), Visited:3 times
BlockID: (4, 13), Visited:3 times
BlockID: (4, 14), Visited:2 times
BlockID: (5, 1), Visited:5 times
BlockID: (5, 7), Visited:10 times
BlockID: (5, 8), Visited:5 times
BlockID: (6, 1), Visited:6 times
BlockID: (6, 2), Visited:4 times
BlockID: (6, 3), Visited:4 times
BlockID: (6, 4), Visited:4 times
BlockID: (6, 5), Visited:4 times
BlockID: (6, 6), Visited:4 times
BlockID: (6, 7), Visited:14 times
BlockID: (6, 8), Visited:5 times
BlockID: (7, 1), Visited:3 times
BlockID: (7, 7), Visited:16 times
BlockID: (7, 8), Visited:6 times
BlockID: (8, 1), Visited:3 times
BlockID: (8, 2), Visited:1 times
BlockID: (8, 3), Visited:1 times
BlockID: (8, 4), Visited:1 times
BlockID: (8, 5), Visited:1 times
BlockID: (8, 6), Visited:1 times
BlockID: (8, 7), Visited:15 times
BlockID: (8, 8), Visited:9 times
BlockID: (9, 1), Visited:2 times
BlockID: (9, 7), Visited:12 times
BlockID: (9, 8), Visited:10 times
BlockID: (10, 1), Visited:2 times
BlockID: (10, 2), Visited:1 times
BlockID: (10, 3), Visited:1 times
BlockID: (10, 4), Visited:2 times
BlockID: (10, 5), Visited:3 times
BlockID: (10, 6), Visited:4 times
BlockID: (10, 7), Visited:13 times
BlockID: (10, 8), Visited:9 times
BlockID: (10, 9), Visited:8 times
BlockID: (10, 10), Visited:4 times
BlockID: (11, 1), Visited:1 times
BlockID: (11, 7), Visited:9 times
BlockID: (11, 10), Visited:5 times
BlockID: (11, 11), Visited:5 times
BlockID: (11, 12), Visited:5 times
BlockID: (11, 13), Visited:4 times
BlockID: (11, 14), Visited:1 times
BlockID: (12, 1), Visited:1 times
BlockID: (12, 2), Visited:1 times
BlockID: (12, 3), Visited:1 times
BlockID: (12, 4), Visited:2 times
BlockID: (12, 5), Visited:5 times
BlockID: (12, 6), Visited:5 times
BlockID: (12, 7), Visited:9 times
BlockID: (12, 10), Visited:4 times
BlockID: (12, 11), Visited:2 times
BlockID: (12, 12), Visited:3 times
BlockID: (12, 13), Visited:3 times
BlockID: (12, 14), Visited:1 times
BlockID: (13, 1), Visited:1 times
BlockID: (13, 2), Visited:1 times
BlockID: (13, 3), Visited:1 times
BlockID: (13, 4), Visited:2 times
BlockID: (13, 5), Visited:3 times
BlockID: (13, 6), Visited:1 times
BlockID: (13, 7), Visited:2 times
BlockID: (13, 8), Visited:2 times
BlockID: (13, 9), Visited:2 times
BlockID: (13, 10), Visited:1 times
Player 4:
BlockID: (1, 1), Visited:1 times
BlockID: (1, 2), Visited:3 times
BlockID: (1, 3), Visited:3 times
BlockID: (1, 4), Visited:4 times
BlockID: (1, 5), Visited:2 times
BlockID: (1, 6), Visited:1 times
BlockID: (1, 7), Visited:2 times
BlockID: (1, 8), Visited:2 times
BlockID: (1, 9), Visited:2 times
BlockID: (1, 10), Visited:3 times
BlockID: (1, 11), Visited:3 times
BlockID: (1, 12), Visited:2 times
BlockID: (1, 13), Visited:1 times
BlockID: (1, 14), Visited:1 times
BlockID: (2, 1), Visited:3 times
BlockID: (2, 2), Visited:3 times
BlockID: (2, 3), Visited:3 times
BlockID: (2, 4), Visited:3 times
BlockID: (2, 5), Visited:2 times
BlockID: (2, 6), Visited:1 times
BlockID: (2, 7), Visited:2 times
BlockID: (2, 10), Visited:1 times
BlockID: (2, 14), Visited:1 times
BlockID: (3, 1), Visited:3 times
BlockID: (3, 7), Visited:2 times
BlockID: (3, 10), Visited:1 times
BlockID: (3, 14), Visited:2 times
BlockID: (4, 1), Visited:4 times
BlockID: (4, 2), Visited:1 times
BlockID: (4, 3), Visited:1 times
BlockID: (4, 4), Visited:1 times
BlockID: (4, 5), Visited:1 times
BlockID: (4, 6), Visited:2 times
BlockID: (4, 7), Visited:5 times
BlockID: (4, 8), Visited:6 times
BlockID: (4, 9), Visited:6 times
BlockID: (4, 10), Visited:6 times
BlockID: (4, 11), Visited:5 times
BlockID: (4, 12), Visited:5 times
BlockID: (4, 13), Visited:5 times
BlockID: (4, 14), Visited:4 times
BlockID: (5, 1), Visited:4 times
BlockID: (5, 7), Visited:4 times
BlockID: (5, 8), Visited:5 times
BlockID: (6, 1), Visited:4 times
BlockID: (6, 2), Visited:1 times
BlockID: (6, 3), Visited:1 times
BlockID: (6, 4), Visited:2 times
BlockID: (6, 5), Visited:3 times
BlockID: (6, 6), Visited:3 times
BlockID: (6, 7), Visited:7 times
BlockID: (6, 8), Visited:7 times
BlockID: (7, 1), Visited:3 times
BlockID: (7, 7), Visited:8 times
BlockID: (7, 8), Visited:7 times
BlockID: (8, 1), Visited:3 times
BlockID: (8, 2), Visited:1 times
BlockID: (8, 3), Visited:2 times
BlockID: (8, 4), Visited:2 times
BlockID: (8, 5), Visited:2 times
BlockID: (8, 6), Visited:2 times
BlockID: (8, 7), Visited:8 times
BlockID: (8, 8), Visited:9 times
BlockID: (9, 1), Visited:3 times
BlockID: (9, 7), Visited:2 times
BlockID: (9, 8), Visited:9 times
BlockID: (10, 1), Visited:3 times
BlockID: (10, 2), Visited:1 times
BlockID: (10, 3), Visited:1 times
BlockID: (10, 4), Visited:1 times
BlockID: (10, 5), Visited:1 times
BlockID: (10, 6), Visited:1 times
BlockID: (10, 7), Visited:3 times
BlockID: (10, 8), Visited:9 times
BlockID: (10, 9), Visited:7 times
BlockID: (10, 10), Visited:5 times
BlockID: (11, 1), Visited:2 times
BlockID: (11, 7), Visited:2 times
BlockID: (11, 10), Visited:6 times
BlockID: (11, 11), Visited:7 times
BlockID: (11, 12), Visited:5 times
BlockID: (11, 13), Visited:3 times
BlockID: (11, 14), Visited:1 times
BlockID: (12, 1), Visited:2 times
BlockID: (12, 2), Visited:1 times
BlockID: (12, 3), Visited:1 times
BlockID: (12, 4), Visited:1 times
BlockID: (12, 5), Visited:1 times
BlockID: (12, 6), Visited:4 times
BlockID: (12, 7), Visited:4 times
BlockID: (12, 10), Visited:6 times
BlockID: (12, 11), Visited:4 times
BlockID: (12, 12), Visited:4 times
BlockID: (12, 13), Visited:2 times
BlockID: (12, 14), Visited:1 times
BlockID: (13, 1), Visited:1 times
BlockID: (13, 2), Visited:1 times
BlockID: (13, 3), Visited:2 times
BlockID: (13, 4), Visited:2 times
BlockID: (13, 5), Visited:2 times
BlockID: (13, 6), Visited:3 times
BlockID: (13, 7), Visited:2 times
BlockID: (13, 8), Visited:3 times
BlockID: (13, 9), Visited:1 times
BlockID: (13, 10), Visited:1 times
